ParticipantID,AT_ACC,AT_ACC_Interference,AT_ACC_Consistent,AT_ACC_Inconsistent,AT_ACC_Living,AT_ACC_InterferenceLiving,AT_ACC_ConsistentLiving,AT_ACC_InconsistentLiving,AT_ACC_NonLiving,AT_ACC_InterferenceNonLiving,AT_ACC_ConsistentNonLiving,AT_ACC_InconsistentNonLiving,AT_ACC_Moving,AT_ACC_InterferenceMoving,AT_ACC_ConsistentMoving,AT_ACC_InconsistentMoving,AT_ACC_NonMoving,AT_ACC_InterferenceNonMoving,AT_ACC_ConsistentNonMoving,AT_ACC_InconsistentNonMoving,AT_RT,AT_RT_Consistent,AT_RT_Inconsistent,AT_RTc,AT_RTc_Interference,AT_RTc_Consistent,AT_RTc_Inconsistent,AT_RTc_Living,AT_RTc_InterferenceLiving,AT_RTc_ConsistentLiving,AT_RTc_InconsistentLiving,AT_RTc_NonLiving,AT_RTc_InterferenceNonLiving,AT_RTc_ConsistentNonLiving,AT_RTc_InconsistentNonLiving,AT_RTc_Moving,AT_RTc_InterferenceMoving,AT_RTc_ConsistentMoving,AT_RTc_InconsistentMoving,AT_RTc_NonMoving,AT_RTc_InterferenceNonMoving,AT_RTc_ConsistentNonMoving,AT_RTc_InconsistentNonMoving,AT_LogRTc,AT_LogRTc_Interference,AT_LogRTc_Consistent,AT_LogRTc_Inconsistent,AT_LogRTc_Living,AT_LogRTc_InterferenceLiving,AT_LogRTc_ConsistentLiving,AT_LogRTc_InconsistentLiving,AT_LogRTc_NonLiving,AT_LogRTc_InterferenceNonLiving,AT_LogRTc_ConsistentNonLiving,AT_LogRTc_InconsistentNonLiving,AT_LogRTc_Moving,AT_LogRTc_InterferenceMoving,AT_LogRTc_ConsistentMoving,AT_LogRTc_InconsistentMoving,AT_LogRTc_NonMoving,AT_LogRTc_InterferenceNonMoving,AT_LogRTc_ConsistentNonMoving,AT_LogRTc_InconsistentNonMoving,AT_LogRTc_1,AT_LogRTc_Consistent_1,AT_LogRTc_Inconsistent_1,AT_LogRTc_Living_1,AT_LogRTc_ConsistentLiving_1,AT_LogRTc_InconsistentLiving_1,AT_LogRTc_NonLiving_1,AT_LogRTc_ConsistentNonLiving_1,AT_LogRTc_InconsistentNonLiving_1,AT_LogRTc_Moving_1,AT_LogRTc_ConsistentMoving_1,AT_LogRTc_InconsistentMoving_1,AT_LogRTc_NonMoving_1,AT_LogRTc_ConsistentNonMoving_1,AT_LogRTc_InconsistentNonMoving_1,AT_EFF,AT_EFF_Interference,AT_EFF_Consistent,AT_EFF_Inconsistent,AT_EFF_Living,AT_EFF_InterferenceLiving,AT_EFF_ConsistentLiving,AT_EFF_InconsistentLiving,AT_EFF_NonLiving,AT_EFF_InterferenceNonLiving,AT_EFF_ConsistentNonLiving,AT_EFF_InconsistentNonLiving,AT_EFF_Moving,AT_EFF_InterferenceMoving,AT_EFF_ConsistentMoving,AT_EFF_InconsistentMoving,AT_EFF_NonMoving,AT_EFF_InterferenceNonMoving,AT_EFF_ConsistentNonMoving,AT_EFF_InconsistentNonMoving
10700,0.976190476,0,0.976190476,0.976190476,0.964285714,0.023809524,0.976190476,0.952380952,0.988095238,-0.023809524,0.976190476,1,0.988095238,-0.023809524,0.976190476,1,0.964285714,0.023809524,0.976190476,0.952380952,0.797007143,0.756596429,0.839176829,0.797253049,-0.083847561,0.755329268,0.839176829,0.684597531,0.017785488,0.693380488,0.675595,0.907193976,-0.177690999,0.817278049,0.994969048,0.845991566,-0.30158856,0.693380488,0.994969048,0.747311111,0.141683049,0.817278049,0.675595,-0.143082756,-0.027037719,-0.156601616,-0.129563897,-0.183978393,-0.00962784,-0.188732882,-0.179105042,-0.103172557,-0.042088497,-0.12447035,-0.082381853,-0.134916699,-0.106351028,-0.188732882,-0.082381853,-0.151450445,0.054634692,-0.12447035,-0.179105042,0.243417344,0.23688,0.249954689,0.222768809,0.222797612,0.222739286,0.263568325,0.250962388,0.275874121,0.249655604,0.222797612,0.275874121,0.237025053,0.250962388,0.222739286,1.22444245,0.129132394,1.292403879,1.163271485,1.408543956,0.450674719,1.407871282,0.957196563,1.089177468,0.18938469,1.194441081,1.005056391,1.139828992,0.402814891,1.407871282,1.005056391,1.290340395,-0.215251046,1.194441081,1.409692127
10780,0.982142857,0.035714286,1,0.964285714,1,0,1,1,0.964285714,0.071428571,1,0.928571429,0.964285714,0.071428571,1,0.928571429,1,0,1,1,0.723697024,0.781217857,0.656017284,0.719755758,0.125200573,0.781217857,0.656017284,0.59099881,0.082216667,0.632107143,0.549890476,0.853281481,0.160020879,0.930328571,0.770307692,0.698648148,-0.138200549,0.632107143,0.770307692,0.740109524,0.380438095,0.930328571,0.549890476,-0.200264214,0.027001447,-0.187008958,-0.214010405,-0.243064771,0.049282098,-0.218423722,-0.267705819,-0.155878452,0.00059038,-0.155594195,-0.156184575,-0.188456725,-0.062239147,-0.218423722,-0.156184575,-0.211650007,0.112111625,-0.155594195,-0.267705819,0.220226723,0.227323735,0.212866859,0.19935855,0.209481524,0.189235576,0.241867792,0.245165946,0.238315933,0.223364758,0.209481524,0.238315933,0.217200761,0.245165946,0.189235576,1.364550192,-0.189856342,1.280052665,1.469909007,1.692050786,0.283827739,1.582010283,1.298182544,1.13009099,-0.130566164,1.074889056,1.20545522,1.431335648,0.376555063,1.582010283,1.20545522,1.351151374,-0.743654896,1.074889056,1.818543952
11111,0.952380952,0.023809524,0.964285714,0.94047619,0.964285714,-0.023809524,0.952380952,0.976190476,0.94047619,0.071428571,0.976190476,0.904761905,0.928571429,0.047619048,0.952380952,0.904761905,0.976190476,0,0.976190476,0.976190476,0.580440476,0.573739286,0.589881013,0.570065,-0.039142741,0.550738272,0.589881013,0.546261728,-0.040187317,0.52592,0.566107317,0.594470886,-0.040580359,0.57495122,0.615531579,0.569576923,-0.089611579,0.52592,0.615531579,0.570529268,0.008843902,0.57495122,0.566107317,-0.275218529,-0.024536382,-0.287333367,-0.262796985,-0.293366236,-0.02086584,-0.303927957,-0.283062118,-0.256611385,-0.030211548,-0.271143523,-0.240931974,-0.273237607,-0.062995983,-0.303927957,-0.240931974,-0.27710282,0.011918595,-0.271143523,-0.283062118,0.190497465,0.185488679,0.195633056,0.184308022,0.179553379,0.188946697,0.196843603,0.191279215,0.202847285,0.190901692,0.179553379,0.202847285,0.190112956,0.191279215,0.188946697,1.670653263,0.156547524,1.750896504,1.594348979,1.765244871,0.224954817,1.810885595,1.585930778,1.582039108,0.227979544,1.697866607,1.469887063,1.713886986,0.340998532,1.810885595,1.469887063,1.711026113,-0.026524594,1.697866607,1.724391201
11620,0.970238095,0.011904762,0.976190476,0.964285714,0.964285714,0.023809524,0.976190476,0.952380952,0.976190476,0,0.976190476,0.976190476,0.976190476,0,0.976190476,0.976190476,0.964285714,0.023809524,0.976190476,0.952380952,0.628475089,0.584516845,0.679320926,0.633568466,-0.090946963,0.588373963,0.679320926,0.64082679,-0.153554436,0.564997439,0.718551875,0.626398659,-0.029296341,0.611750488,0.641046829,0.603022134,-0.07604939,0.564997439,0.641046829,0.664491914,-0.106801387,0.611750488,0.718551875,-0.219233567,-0.036523687,-0.237383375,-0.200859687,-0.224595535,-0.057936076,-0.253205943,-0.195269867,-0.213936989,-0.015247636,-0.221560807,-0.206313171,-0.229759557,-0.046892772,-0.253205943,-0.206313171,-0.208577627,-0.026290939,-0.221560807,-0.195269867,0.208598963,0.199922732,0.217382307,0.207749171,0.193823768,0.222022709,0.209438392,0.206021697,0.212855086,0.203339427,0.193823768,0.212855086,0.213923432,0.206021697,0.222022709,1.531386341,0.23964791,1.659132689,1.419484779,1.5047525,0.242113407,1.727778586,1.485665179,1.558417252,0.072926249,1.595733057,1.522806809,1.599088424,0.204971777,1.727778586,1.522806809,1.451162451,0.270315943,1.595733057,1.325417114
11738,0.952380952,0.023809524,0.964285714,0.94047619,0.952380952,0.047619048,0.976190476,0.928571429,0.952380952,0,0.952380952,0.952380952,0.964285714,0.023809524,0.976190476,0.952380952,0.94047619,0.023809524,0.952380952,0.928571429,0.559233333,0.530092857,0.599806329,0.56793875,-0.062948304,0.536858025,0.599806329,0.5737975,-0.140017386,0.505539024,0.64555641,0.56208,0.01376,0.56896,0.5552,0.530062963,-0.049660976,0.505539024,0.5552,0.606773418,-0.07659641,0.56896,0.64555641,-0.268471051,-0.036103944,-0.286297373,-0.250193429,-0.273442673,-0.071162607,-0.308134444,-0.236971838,-0.263499428,-0.000829894,-0.263914375,-0.263084481,-0.285887549,-0.045049963,-0.308134444,-0.263084481,-0.250613629,-0.026942538,-0.263914375,-0.236971838,0.191590618,0.184102376,0.199268437,0.191708125,0.176183336,0.208029058,0.191473112,0.192219391,0.190726832,0.18336531,0.176183336,0.190726832,0.200024163,0.192219391,0.208029058,1.676907857,0.228198791,1.796165224,1.567966433,1.659785817,0.258490387,1.930989358,1.672498971,1.694386835,-0.041485654,1.673897906,1.71538356,1.774272598,0.215605798,1.930989358,1.71538356,1.549962742,0.235493122,1.673897906,1.438404784
12073,0.976190476,0,0.976190476,0.976190476,0.988095238,0.023809524,1,0.976190476,0.964285714,-0.023809524,0.952380952,0.976190476,0.988095238,0.023809524,1,0.976190476,0.964285714,-0.023809524,0.952380952,0.976190476,0.59592381,0.565811905,0.630085366,0.599364634,-0.061441463,0.568643902,0.630085366,0.572581928,-0.083493612,0.531338095,0.614831707,0.626808642,-0.037524024,0.607815,0.645339024,0.587651807,-0.114000929,0.531338095,0.645339024,0.611366667,-0.007016707,0.607815,0.614831707,-0.248321223,-0.023185854,-0.25991415,-0.236728296,-0.27519735,-0.02368985,-0.286899565,-0.263209714,-0.220781488,-0.021332586,-0.231579464,-0.210246878,-0.249034984,-0.076652687,-0.286899565,-0.210246878,-0.247589838,0.031630251,-0.231579464,-0.263209714,0.198869352,0.193178865,0.204559838,0.189784452,0.183402897,0.196321654,0.20817857,0.203443633,0.212798021,0.19792338,0.183402897,0.212798021,0.199838681,0.203443633,0.196321654,1.628708837,0.167400341,1.716699101,1.54929876,1.725683593,0.369362336,1.882040849,1.512678514,1.538405264,0.054214295,1.566892808,1.512678514,1.640913382,0.369362336,1.882040849,1.512678514,1.577262495,-0.020843257,1.566892808,1.587736066
12656,0.946428571,0.035714286,0.964285714,0.928571429,0.928571429,0.142857143,1,0.857142857,0.964285714,-0.071428571,0.928571429,1,1,0,1,1,0.892857143,0.071428571,0.928571429,0.857142857,1.390873036,1.474658036,1.347302564,1.433962358,0.170109967,1.517412531,1.347302564,1.13488359,-0.054644405,1.109663095,1.1643075,1.721964136,0.452371832,1.956527308,1.504155476,1.306909286,-0.394492381,1.109663095,1.504155476,1.5762618,0.792219808,1.956527308,1.1643075,-0.004563072,-0.01991204,-0.014331243,0.005580797,-0.069612556,-0.058934899,-0.096813278,-0.037878379,0.058077171,0.031664044,0.074495564,0.04283152,-0.026990879,-0.139644798,-0.096813278,0.04283152,0.020556071,0.112373944,0.074495564,-0.037878379,0.326479276,0.326457061,0.326502347,0.289396969,0.278792261,0.301769129,0.362188165,0.377788383,0.347702248,0.313247255,0.278792261,0.347702248,0.341299141,0.377788383,0.301769129,0.660009355,-0.053727531,0.635480263,0.689207794,0.818208525,0.331324517,0.901174423,0.569849906,0.559991753,-0.190223067,0.474601824,0.664824891,0.683182186,0.236349533,0.901174423,0.664824891,0.566439625,-0.26158072,0.474601824,0.736182544
12703,0.958333333,0.035714286,0.976190476,0.94047619,0.964285714,-0.023809524,0.952380952,0.976190476,0.952380952,0.095238095,1,0.904761905,0.928571429,0.047619048,0.952380952,0.904761905,0.988095238,0.023809524,1,0.976190476,0.888033929,0.80634881,0.990913924,0.898440994,-0.181562705,0.80935122,0.990913924,0.762711111,-0.170171341,0.676575,0.846746341,1.0358675,-0.210658396,0.935804762,1.146463158,0.905494872,-0.469888158,0.676575,1.146463158,0.891812048,0.08905842,0.935804762,0.846746341,-0.117800687,-0.057437101,-0.14598411,-0.088547008,-0.17062321,-0.048990586,-0.195420914,-0.146430328,-0.064317883,-0.072807486,-0.098901439,-0.026093953,-0.112928292,-0.169326961,-0.195420914,-0.026093953,-0.122379565,0.047528889,-0.098901439,-0.146430328,0.258851296,0.24319592,0.275101179,0.233783396,0.219622006,0.247599387,0.284232543,0.265647266,0.304774166,0.261106392,0.219622006,0.304774166,0.256732049,0.265647266,0.247599387,1.066662519,0.257039718,1.206139501,0.949099783,1.264286963,0.556170204,1.407650227,0.851480023,0.919404221,0.279422358,1.068598965,0.789176607,1.091221241,0.61847362,1.407650227,0.789176607,1.107963545,-0.084273422,1.068598965,1.152872387
12970,0.994047619,-0.011904762,0.988095238,1,1,0,1,1,0.988095238,-0.023809524,0.976190476,1,1,0,1,1,0.988095238,-0.023809524,0.976190476,1,0.767302976,0.72995119,0.804654762,0.76877006,-0.07220175,0.732453012,0.804654762,0.773235714,-0.181833333,0.682319048,0.864152381,0.764250602,0.038652613,0.783809756,0.745157143,0.713738095,-0.062838095,0.682319048,0.745157143,0.82446506,-0.080342625,0.783809756,0.864152381,-0.141438965,-0.02675336,-0.154895744,-0.128142384,-0.146022058,-0.069182324,-0.18061322,-0.111430896,-0.136800653,0.01630286,-0.128551013,-0.144853873,-0.162733547,-0.035759347,-0.18061322,-0.144853873,-0.119887821,-0.017120117,-0.128551013,-0.111430896,0.241519953,0.234577012,0.248380239,0.240746935,0.223116929,0.25837694,0.242302284,0.246316609,0.238383538,0.230750234,0.223116929,0.238383538,0.252419427,0.246316609,0.25837694,1.293036333,0.106253007,1.349022015,1.242769008,1.293266699,0.123591228,1.46559004,1.341998811,1.292894288,-0.096555681,1.24544313,1.341998811,1.384394703,0.123591228,1.46559004,1.341998811,1.198468299,0.088239815,1.24544313,1.157203315
13339,0.964285714,0.023809524,0.976190476,0.952380952,0.964285714,0.023809524,0.976190476,0.952380952,0.964285714,0.023809524,0.976190476,0.952380952,0.964285714,0.023809524,0.976190476,0.952380952,0.964285714,0.023809524,0.976190476,0.952380952,0.603372024,0.615984524,0.60236875,0.609525309,0.014138567,0.616507317,0.60236875,0.625209877,-0.014209817,0.618192683,0.6324025,0.593840741,0.042486951,0.614821951,0.572335,0.595546914,0.045857683,0.618192683,0.572335,0.623503704,-0.017580549,0.614821951,0.6324025,-0.237716277,0.002055734,-0.236701099,-0.238756833,-0.229229236,-0.003711766,-0.231062206,-0.227350441,-0.246203317,0.007823234,-0.242339992,-0.250163226,-0.240494809,0.01910102,-0.231062206,-0.250163226,-0.234937744,-0.014989551,-0.242339992,-0.227350441,0.202583067,0.203612654,0.20152774,0.206297261,0.205089331,0.20753539,0.198868872,0.202135978,0.195520089,0.200363779,0.205089331,0.195520089,0.204802355,0.202135978,0.20753539,1.582027359,0.002361051,1.583420746,1.581059695,1.542339222,-0.084923204,1.579103899,1.664027104,1.623811989,-0.076265843,1.58776126,1.664027104,1.619159956,-0.084923204,1.579103899,1.664027104,1.546559721,0.081788478,1.58776126,1.505972782
