"ParticipantID","CB_ACC","CB_RTc","CB_LogRTc","CB_LogRTperC","CB_RTperCcorrect","CB_ACC_forward","CB_RTc_forward","CB_LogRTc_1","CB_LogRTperC_forward","CB_LogRTc_1_forward","CB_RTperCcorrect_forward","CB_ACC_backward","CB_RTc_backward","CB_LogRTc_backward","CB_LogRTc_1_backward","CB_RTperCcorrect_back","CB_Totalclick","CB_Correctclick","CB_Totalclick_forward","CB_Correctclick_forward","CB_Totalclick_backward","CB_Correctclick_backward","CB_EFF","CB_EFF_forward","CB_EFF_backward"
10325,0.5625,2.98915,0.436408044813302,-0.106940343319422,0.763199021164021,0.5625,3.07762222222222,0.579289521139074,-0.117206462858322,0.5764143129432,0.726933968253968,0.5625,2.90067777777778,0.446105710219173,0.582164729334948,0.799464074074074,5.5,3.53125,5.5,3.375,5.5,3.6875,0.188180586454343,0.182770970373954,0.193920194896978
10380,0.5625,2.37938333333333,0.357168949924014,-0.126981254388859,0.662762777777778,0.5625,2.16142222222222,0.519725350362223,-0.179120600620904,0.487194639837338,0.58208462962963,0.5625,2.59734444444444,0.407313966575387,0.552256060887108,0.743440925925926,4.8125,2.96875,4.6875,3.1875,4.9375,2.75,0.236405791416544,0.260245311728903,0.216567348702307
10909,0.65625,3.80167619047619,0.548203530992829,-0.0551089008207593,0.918876031746032,0.625,3.5724,0.661951368380355,-0.0688629847225507,0.640765006704997,0.874879238095238,0.6875,4.01010909090909,0.573376925313395,0.681211697176134,0.958873116883117,5.28125,4.15625,5.25,4.375,5.3125,3.9375,0.172621224722929,0.174952412943679,0.171441720016685
11004,0.625,3.777585,0.547477398850631,-0.0810917318975823,0.903200303571428,0.625,4.10434,0.661073592160411,-0.0594041447197683,0.689896964041251,0.986128357142857,0.625,3.45083,0.510257876543816,0.632250220279572,0.82027225,5.34375,4.09375,5.25,4.0625,5.4375,4.125,0.165449619267336,0.152277832733156,0.181115847491763
11013,0.46875,2.64058666666667,0.375853938931924,-0.140672305210198,0.733497888888889,0.5,2.8847125,0.535254518437431,-0.133387374434097,0.547969048704043,0.764762499999999,0.4375,2.36158571428571,0.360832248661424,0.520723626704159,0.697766904761905,5.34375,3.3125,5.1875,3.3125,5.5,3.3125,0.177517369877401,0.173327497974235,0.185256879457507
11133,0.8125,2.82190384615385,0.405169317651337,-0.216032036823815,0.590670605921856,0.75,2.33381666666667,0.558756384223575,-0.249302549773745,0.504681215817813,0.513360228174603,0.875,3.24026428571429,0.470572864075281,0.60510652857137,0.65693664399093,5.4375,4.96875,5.4375,4.8125,5.4375,5.125,0.28792618186031,0.321362003584972,0.270039701347112
11307,0.65625,2.16676666666667,0.30334451080195,-0.258330243479534,0.551258293650794,0.75,2.33131666666667,0.485533881335069,-0.259402165742376,0.500507172395388,0.530699791666667,0.5625,1.94736666666667,0.280632276718629,0.465569493254644,0.57866962962963,5.40625,4.375,5.4375,4.6875,5.375,4.0625,0.302870636739843,0.321706617862581,0.288851611578028
11342,0.5,3.45211875,0.49875636096793,-0.0273751734858139,0.937400669642857,0.5625,3.39824444444444,0.625431648144219,-0.0662186981520104,0.614537487967822,1.01714018518519,0.4375,3.52138571428571,0.520445351792474,0.639438425513873,0.83487843537415,5.0625,3.78125,5.125,4.0625,5,3.5,0.144838586447816,0.16552664447656,0.124240862971963
12026,0.40625,1.76184615384615,0.227253182053149,-0.271406233889384,0.52969358974359,0.375,1.5835,0.433547948775584,-0.22381330748254,0.408610431661957,0.546319444444444,0.4375,1.91471428571429,0.258872434618939,0.454922963444407,0.515442857142857,5.46875,2.96875,5.1875,2.8125,5.75,3.125,0.230581994411457,0.236817177139249,0.228493620831157
12160,0.612903225806452,2.35868947368421,0.347490958102769,-0.20370598285396,0.615354348370927,0.6875,2.49768181818182,0.51346513662976,-0.205796382256552,0.530797048485362,0.603318722943723,0.533333333333333,2.167575,0.314148353403867,0.489633757828306,0.631903333333333,5.45161290322581,3.83870967741935,5.375,4.0625,5.53333333333333,3.6,0.25984905289339,0.275255236674007,0.246050694132075
