"ParticipantID","RS_ACC","RS_ACC_Interference","RS_ACC_Consistent","RS_ACC_Inconsistent","RS_ACC_T1True","RS_ACC_InterferenceT1True","RS_ACC_ConsistentT1True","RS_ACC_InconsistentT1True","RS_ACC_T2True","RS_ACC_InterferenceT2True","RS_ACC_ConsistentT2True","RS_ACC_InconsistentT2True","RS_ACC_Biology","RS_ACC_InterferenceBiology","RS_ACC_ConsistentBiology","RS_ACC_InconsistentBiology","RS_ACC_Physics","RS_ACC_InterferencePhysics","RS_ACC_ConsistentPhysics","RS_ACC_InconsistentPhysics","RS_RTc","RS_RTc_Interference","RS_RTc_Consistent","RS_RTc_Inconsistent","RS_RTc_T1True","RS_RTc_InterferenceT1True","RS_RTc_ConsistentT1True","RS_RTc_InconsistentT1True","RS_RTc_T2True","RS_RTc_InterferenceT2True","RS_RTc_ConsistentT2True","RS_RTc_InconsistentT2True","RS_RTc_Biology","RS_RTc_InterferenceBiology","RS_RTc_ConsistentBiology","RS_RTc_InconsistentBiology","RS_RTc_Physics","RS_RTc_InterferencePhysics","RS_RTc_ConsistentPhysics","RS_RTc_InconsistentPhysics","RS_LogRTc","RS_LogRTc_Interference","RS_LogRTc_Consistent","RS_LogRTc_Inconsistent","RS_LogRTc_T1True","RS_LogRTc_ConsistentT1True","RS_LogRTc_InconsistentT1True","RS_LogRTc_T2True","RS_LogRTc_InterferenceT2True","RS_LogRTc_ConsistentT2True","RS_LogRTc_InconsistentT2True","RS_LogRTc_Biology","RS_LogRTc_InterferenceBiology","RS_LogRTc_ConsistentBiology","RS_LogRTc_InconsistentBiology","RS_LogRTc_Physics","RS_LogRTc_InterferencePhysics","RS_LogRTc_ConsistentPhysics","RS_LogRTc_InconsistentPhysics","RS_LogRTc_1","RS_LogRTc_Consistent_1","RS_LogRTc_Inconsistent_1","RS_LogRTc_T1True_1","RS_LogRTc_ConsistentT1True_1","RS_LogRTc_InconsistentT1True_1","RS_LogRTc_T2True_1","RS_LogRTc_ConsistentT2True_1","RS_LogRTc_InconsistentT2True_1","RS_LogRTc_Biology_1","RS_LogRTc_ConsistentBiology_1","RS_LogRTc_InconsistentBiology_1","RS_LogRTc_Physics_1","RS_LogRTc_ConsistentPhysics_1","RS_LogRTc_InconsistentPhysics_1","RS_RT_Inconsistent","RS_RT_Consistent","RS_RT","RS_EFF","RS_EFF_Interference","RS_EFF_Consistent","RS_EFF_Inconsistent","RS_EFF_T1True","RS_EFF_InterferenceT1True","RS_EFF_ConsistentT1True","RS_EFF_InconsistentT1True","RS_EFF_T2True","RS_EFF_InterferenceT2True","RS_EFF_ConsistentT2True","RS_EFF_InconsistentT2True","RS_EFF_Biology","RS_EFF_InterferenceBiology","RS_EFF_ConsistentBiology","RS_EFF_InconsistentBiology","RS_EFF_Physics","RS_EFF_InterferencePhysics","RS_EFF_ConsistentPhysics","RS_EFF_InconsistentPhysics","RS_LogRTc_InterferenceT1True"
10325,0.703125,0.34375,0.875,0.53125,0.65625,0.4375,0.875,0.4375,0.75,0.25,0.875,0.625,0.8125,0.25,0.9375,0.6875,0.59375,0.4375,0.8125,0.375,1.71597777777778,-0.105691176470588,1.67605,1.78174117647059,1.76975714285714,-0.557078571428572,1.58406428571429,2.14114285714286,1.56160416666667,0.0539042857142857,1.58406428571429,1.53016,1.39513461538462,-0.27046606060606,1.28070666666667,1.55117272727273,2.15502631578947,-0.0722346153846156,2.13221538461538,2.20445,0.192580119483066,-0.0445928369974348,0.175733936617369,0.220326773614804,0.205681862173651,0.156881573658501,0.303282439203951,0.159121671176793,-0.005376234043899,0.156881573658501,0.1622578077024,0.123899034089662,-0.0880095952728941,0.086664205320361,0.174673800593255,0.286564762652988,-0.0255171873224441,0.278506703498532,0.304023890820976,0.416989392077424,0.408125409298433,0.431588893125174,0.425380987709714,0.396128616100174,0.483885730928794,0.395650487167868,0.396128616100174,0.39498110666264,0.372571757142474,0.351549156107999,0.401238940371302,0.477771418830513,0.47340570144124,0.487230473173938,1.78819375,1.704725,1.746459375,0.409751809787747,0.223897401691784,0.522060797708899,0.298163396017115,0.370813590242406,0.348046441247348,0.552376572018632,0.204330130771284,0.480275357871846,0.143922554138149,0.552376572018632,0.408454017880483,0.582381077094849,0.288804687325116,0.732017740205928,0.443213052880812,0.275518677266122,0.21094860621499,0.381059064605971,0.170110458390982,-0.14640086554545
10380,0.640625,0.28125,0.78125,0.5,0.625,0.125,0.6875,0.5625,0.5625,0.25,0.6875,0.4375,0.65625,0.1875,0.75,0.5625,0.625,0.375,0.8125,0.4375,4.35586829268293,-1.04189275,3.949276,4.99116875,4.266325,1.01123737373737,4.72138181818182,3.71014444444444,5.46681111111111,-1.91681818181818,4.72138181818182,6.6382,3.34468095238095,-2.77656388888889,2.154725,4.93128888888889,5.417615,0.537627472527473,5.60578461538462,5.06815714285714,0.461797938709897,-0.121541474748751,0.41436711929575,0.535908594044501,0.3912330220907,0.374225470796847,0.41202002922763,0.499046523357148,-0.320968420869345,0.374225470796847,0.695193891666193,0.377776337330407,-0.23168387126393,0.278483249645865,0.510167120909795,0.550020620158362,-0.0292063902011719,0.539798383587951,0.569004773789123,0.615834671142349,0.580733003434386,0.67068102693604,0.570592091235374,0.566508405965734,0.575583262120489,0.654568863195295,0.566508405965734,0.792949581698891,0.551888237057336,0.474876425763471,0.654570652115823,0.682978426931612,0.678446767438308,0.691394365990604,4.736359375,4.27255625,4.5044578125,0.147071710381173,0.0976441314597932,0.197821068975681,0.100176937515887,0.146496106133499,-0.0059971979253656,0.145614149940695,0.151611347866061,0.102893622729481,0.0797077295255225,0.145614149940695,0.0659064204151728,0.196207055125195,0.234004718297449,0.348072259801135,0.114067541503686,0.115364417737325,0.0586162776837437,0.144939567918853,0.0863232902351094,-0.0377945584307824
10909,0.875,0.1875,0.96875,0.78125,0.8125,0.25,0.9375,0.6875,0.90625,0.0625,0.9375,0.875,0.9375,0.125,1,0.875,0.8125,0.25,0.9375,0.6875,1.8375375,-0.440236774193548,1.64100322580645,2.08124,1.82630769230769,-0.461116363636364,1.63122,2.09233636363636,1.84426206896552,-0.441301428571429,1.63122,2.07252142857143,1.58665,-0.282455357142857,1.4548375,1.73729285714286,2.12702307692308,-0.679410909090909,1.83958,2.51899090909091,0.218798454966365,-0.0859812310810387,0.180413976805187,0.266395207886226,0.216764323682,0.168096829209601,0.283129088871637,0.209203884748678,-0.0851503293309456,0.168096829209601,0.253247158540546,0.169088595622132,-0.0574401629158792,0.142283186261388,0.199723349177267,0.276155984978942,-0.130163480736631,0.221086820051906,0.351250300788537,0.434089221648562,0.408425111273716,0.465912718513372,0.433309889004062,0.403386684582561,0.474114258669745,0.430460737455363,0.403386684582561,0.45946865124765,0.400944969103551,0.382566548945751,0.421948877855322,0.472332589969729,0.436007577756879,0.521866697532707,2.16579375,1.647953125,1.9068734375,0.476180758215819,0.214962915877775,0.590340094867223,0.375377178989449,0.444886698677449,0.246143157077983,0.574723213300474,0.328580056222492,0.49138894913581,0.152532162372171,0.574723213300474,0.422191050928303,0.590867551129739,0.183704822839317,0.687361990600325,0.503657167761007,0.381989273560375,0.236700448345241,0.509627197512476,0.272926749167235,-0.115032259662036
11004,0.84375,0.3125,1,0.6875,0.875,0.25,1,0.75,0.8125,0.375,1,0.625,0.875,0.25,1,0.75,0.8125,0.375,1,0.625,5.08555925925926,0.382825,5.241525,4.8587,4.40672142857143,-0.384014583333333,4.24214375,4.62615833333333,4.58660769230769,-0.89560625,4.24214375,5.13775,3.64281071428571,-1.55453541666667,2.97658125,4.53111666666667,6.63928846153846,2.25466875,7.50646875,5.2518,0.548895621268618,-0.099922323340299,0.508186526574422,0.608108849914721,0.49520460769434,0.425627596558345,0.587973955875667,0.50510572202113,-0.206643126203241,0.425627596558345,0.632270722761586,0.444311089122411,-0.235138644543871,0.343537384317895,0.578676028861766,0.661525117426072,0.0294074336526818,0.672835668830949,0.643428235178268,0.679775795893013,0.654714417538666,0.716228709862971,0.636085210692398,0.587392160487871,0.701009277631769,0.643969032815772,0.587392160487871,0.734492028540413,0.598804523113378,0.527733369188272,0.693566061680186,0.766975628117234,0.78169546588906,0.743423887682312,6.9873375,5.241525,6.11443125,0.165910956295276,0.0492854158264046,0.190784170637362,0.141498754810958,0.198560316140441,0.0736083125025441,0.235729871247291,0.162121558744747,0.177146173055669,0.114081289669752,0.235729871247291,0.121648581577539,0.240199139792958,0.170433777076758,0.335955888991775,0.165522111915017,0.122377571739326,0.0142116157248966,0.133218432435358,0.119006816710461,-0.162346359317322
11013,0.703125,0.40625,0.90625,0.5,0.65625,0.5625,0.9375,0.375,0.78125,0.3125,0.9375,0.625,0.8125,0.125,0.875,0.75,0.59375,0.6875,0.9375,0.25,1.80513777777778,-0.479133189655172,1.63477931034483,2.1139125,1.76156666666667,-0.389713333333333,1.65022,2.03993333333333,1.853452,-0.50808,1.65022,2.1583,1.72520384615385,-0.50702380952381,1.49119285714286,1.99821666666667,1.91452105263158,-0.692206666666667,1.76879333333333,2.461,0.205301239703803,-0.0982164269309285,0.170379843461695,0.268596270392624,0.195683998815654,0.17499223414762,0.247413410485739,0.217517735023274,-0.106313752189135,0.17499223414762,0.281305986336755,0.181167521277413,-0.123729548601172,0.12406157576918,0.247791124370351,0.238326328076758,-0.117401481818064,0.213610226641376,0.331011708459441,0.426727631609326,0.404165335058833,0.467621794107095,0.420718733853899,0.406845222198204,0.455402512993138,0.43408847842911,0.406845222198204,0.474953362775469,0.412529564240678,0.377764629891853,0.453088654314308,0.446156565903265,0.428805993214681,0.511221213485456,2.193421875,1.663871875,1.928646875,0.389513204286038,0.317827933149981,0.554356171665057,0.236528238515076,0.372537703180881,0.384276533792753,0.568106070705724,0.183829536912971,0.421510780964384,0.27852630885612,0.568106070705724,0.289579761849604,0.470958838754841,0.21144388832874,0.58677856174587,0.37533467341713,0.310129783730437,0.428437628795742,0.530022350453605,0.101584721657863,-0.0724211763381186
11133,0.78125,0.3125,0.9375,0.625,0.78125,0.4375,1,0.5625,0.84375,0.3125,1,0.6875,0.84375,0.1875,0.9375,0.75,0.71875,0.4375,0.9375,0.5,2.100072,-0.611105,1.85563,2.466735,2.178488,-1.24788333333333,1.72925,2.97713333333333,1.85957407407407,-0.319886363636364,1.72925,2.04913636363636,1.72464814814815,-0.761868333333334,1.38604,2.14790833333333,2.54078695652174,-0.619755,2.32522,2.944975,0.246281764407026,-0.0796935891938401,0.21440432872949,0.29409791792333,0.260832058845962,0.189650756576788,0.387376596213384,0.201110411028694,-0.0281282427455889,0.189650756576788,0.217778999322376,0.159638214770375,-0.0890822250806253,0.120046114734542,0.209128339815167,0.347993757458746,-0.112789742361136,0.308762542724438,0.421552285085575,0.455655240378425,0.432944922590382,0.489720717060488,0.465272797956933,0.417448315270631,0.550294100510359,0.42670149929432,0.417448315270631,0.440160676056048,0.400065379394861,0.370492546096886,0.437031421017329,0.520912903272173,0.495397299083878,0.568754661125226,2.463553125,2.11264375,2.2880984375,0.372011054859071,0.251847892375779,0.505219251682717,0.253371359306938,0.358620290770479,0.389345240074467,0.578285383836924,0.188940143762456,0.45373293366661,0.24277818568249,0.578285383836924,0.335507198154433,0.489230224092944,0.327210493424323,0.676387405846873,0.349176912422551,0.282884796049153,0.2334069271721,0.403187655361643,0.169780728189543,-0.197725839636597
11307,0.640625,0.40625,0.84375,0.4375,0.59375,0.5625,0.875,0.3125,0.71875,0.3125,0.875,0.5625,0.71875,0.3125,0.875,0.5625,0.5625,0.5,0.8125,0.3125,2.24078536585366,0.162166402116402,2.29615925925926,2.13399285714286,2.12672631578947,0.224642857142857,2.18584285714286,1.9612,2.20311739130435,-0.0441460317460316,2.18584285714286,2.22998888888889,2.30781739130435,0.339442857142857,2.44064285714286,2.1012,2.15513333333333,-0.0524584615384613,2.14056153846154,2.19302,0.298563412622876,0.0069508976307282,0.300936889862637,0.293985992231909,0.276717562140166,0.275551523147921,0.279982471318451,0.28580925472719,-0.0262142029247975,0.275551523147921,0.301765726072719,0.300950415308532,0.0292543479449857,0.312397768852222,0.283143420907237,0.295513353635649,-0.0249082158193888,0.28859440479693,0.313502620616319,0.485923765334772,0.489175667306018,0.479652240104513,0.472053560853996,0.474191148753314,0.466068314735905,0.479281124796959,0.474191148753314,0.487198865309296,0.489046884832809,0.499171706857677,0.473297161683014,0.481933112642837,0.478410701635001,0.491091381263211,2.308175,2.30044375,2.304309375,0.285893066673052,0.162446700954105,0.367461445279799,0.205014744325694,0.279184959339533,0.240962030474181,0.400303250135613,0.159341219661432,0.326242261459552,0.148059840851062,0.400303250135613,0.252243409284551,0.31144145230389,0.0908079325663135,0.358512101612573,0.267704169046259,0.261004732885823,0.237075736284831,0.379573296726596,0.142497560441765,-0.00443094817053019
11342,0.640625,0.28125,0.78125,0.5,0.59375,0.3125,0.75,0.4375,0.65625,0.1875,0.75,0.5625,0.8125,0.375,1,0.625,0.46875,0.1875,0.5625,0.375,2.28503658536585,-0.624042,2.041508,2.66555,2.32063684210526,-0.870458333333333,1.99994166666667,2.8704,2.21691904761905,-0.506280555555555,1.99994166666667,2.50622222222222,2.15626923076923,-0.53695,1.94975,2.4867,2.50823333333333,-0.759,2.20463333333333,2.96363333333333,0.330140609246673,-0.113963991257039,0.285666856560999,0.399630847818038,0.329458361865662,0.27692583407479,0.419514123792872,0.322885938449333,-0.1072402435406,0.27692583407479,0.38416607761539,0.308131729793048,-0.101044630742715,0.269268410276619,0.370313041019334,0.368289333632956,-0.133674209193759,0.314819649955453,0.448493859149211,0.502898821745541,0.472343823929478,0.550641005833141,0.503809269466422,0.466482399564763,0.567798189297837,0.496831312524883,0.466482399564763,0.537296529805044,0.487624945847758,0.46112478844036,0.530025197699594,0.529373539968366,0.492288775910131,0.585000686055719,2.81911875,2.4516125,2.635365625,0.280356561510997,0.195104252627844,0.382682801145036,0.187578548517192,0.255856491298895,0.222593156325151,0.37501093781902,0.152417781493868,0.296018928027529,0.150569547501588,0.37501093781902,0.224441390317432,0.376808233594349,0.261549154026669,0.512886267470189,0.25133711344352,0.186884526957885,0.128610596756398,0.255144468467924,0.126533871711525,-0.142588289718082
12026,0.75,0.1875,0.84375,0.65625,0.71875,0.4375,0.9375,0.5,0.875,0.125,0.9375,0.8125,0.78125,0.1875,0.875,0.6875,0.71875,0.1875,0.8125,0.625,1.9290625,-0.156248677248677,1.8607037037037,2.01695238095238,1.74769565217391,-0.554191666666667,1.55493333333333,2.109125,1.74310714285714,-0.405297435897436,1.55493333333333,1.96023076923077,1.4232,-0.0144155844155844,1.41685714285714,1.43127272727273,2.47891304347826,-0.322507692307692,2.33869230769231,2.6612,0.231488752128216,-0.044908278392134,0.211841380331658,0.256749658723792,0.191372724143336,0.147137032986595,0.274314645062225,0.193010041696456,-0.0988034033750837,0.147137032986595,0.245940436361679,0.119746400145829,-0.00427909482210112,0.117863598424105,0.122142693246206,0.352947830369941,-0.0917690983631905,0.313048222385945,0.404817320749136,0.444523973680745,0.433148502606364,0.459149579347807,0.419158337697359,0.391120837848163,0.471728649914601,0.419111590525342,0.391120837848163,0.451408612845164,0.372716522030337,0.372067039369783,0.373543136325589,0.522575551561623,0.498928539938067,0.553316666672246,2.477875,1.86971875,2.173796875,0.388789891462822,0.128090347014629,0.453457473277732,0.325367126263103,0.41125581511058,0.365854605678832,0.602919739324301,0.237065133645469,0.501977175405167,0.188427725040269,0.602919739324301,0.414492014284032,0.548939010680157,0.137222307525367,0.617564025005041,0.480341717479675,0.289945628343418,0.11255991764995,0.347416373384206,0.234856455734255,-0.127177612075629
12160,0.671875,0.34375,0.84375,0.5,0.59375,0.4375,0.8125,0.375,0.71875,0.1875,0.8125,0.625,0.78125,0.1875,0.875,0.6875,0.5625,0.5,0.8125,0.3125,2.27086744186047,-0.0350092592592595,2.25784074074074,2.29285,2.36317894736842,0.234253846153846,2.43715384615385,2.2029,2.39787826086957,0.0903338461538463,2.43715384615385,2.34682,2.01934,0.207068181818182,2.11045,1.90338181818182,2.62021111111111,-0.733110769230769,2.41656923076923,3.14968,0.311033894077499,-0.0179733132451348,0.304346149614193,0.322319462859328,0.342935380830343,0.351196926161505,0.32503536594616,0.337933010877037,0.0305070051542764,0.351196926161505,0.320689921007229,0.25563086586266,0.00659754418854752,0.25853378530562,0.251936241117073,0.387982544375887,-0.123480008745787,0.353682541946502,0.477162550692289,0.493384644612877,0.489665065390516,0.49966143455061,0.512138101620343,0.518759326268598,0.497792114882459,0.510943543695947,0.518759326268598,0.5007830263515,0.457699838061314,0.46265865071747,0.451388621953479,0.542946875934492,0.518748896576874,0.605861622264298,3.03938125,2.486553125,2.7629671875,0.295867115629413,0.155628532761363,0.373697747930258,0.218069215168895,0.251250545652155,0.163150526170474,0.333380677334848,0.170230151164374,0.299744157878704,0.0670628515109675,0.333380677334848,0.266317825823881,0.386883833331683,0.0534043153338367,0.41460352057618,0.361199205242344,0.214677358482565,0.237004024054015,0.336220452389592,0.099216428335577,0.0261615602153453
