"ParticipantID","Age","Gender","CN_FirstLanguage","Site","EducationScore","CurrentEdScore","HighestEdScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore","STEMscore"
10700,"24","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,NA,0,22,0,22,NA
10780,"32","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,12,12,12,0,0,24
11620,"23",NA,NA,"CN","0_16_NA_NA",16,0,NA,NA,14,16,14,0,0,NA
11738,"23","Male","Chinese","CN","0_16_NA_NA",16,0,14,14,14,10,14,14,14,28
12073,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,14,0,24
12656,"18",NA,NA,"CN","0_16_NA_NA",16,0,NA,NA,NA,NA,NA,NA,NA,NA
12703,"20","Male","Chinese","CN","0_16_NA_NA",16,0,10,10,12,0,12,0,0,22
12970,"22","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,12,22,14,0,0,24
13339,"20","Female","Chinese","CN","0_16_NA_NA",16,0,8,12,12,12,0,14,0,20
13662,"24","Female","Chinese","CN","0_20_NA_NA",20,0,18,14,14,0,14,14,14,32
13764,"28","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,14,22,14,0,12,26
14746,"22","Male","Chinese","CN","0_20_NA_NA",20,0,18,14,14,14,18,18,0,32
14967,"22","Male","Chinese","CN","0_20_NA_NA",20,0,10,10,10,0,18,14,0,20
15940,"24","Female","Chinese","CN","0_20_NA_NA",20,0,18,14,14,0,14,0,0,32
16021,"25","Male","Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,12,14,0,24
16062,"35","Male","Chinese","CN","0_NA_NA",0,NA,14,24,14,14,14,18,0,28
16258,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,10,10,0,14,14,0,22
16448,"28","Female","Chinese","CN","0_20_NA_NA",20,0,0,0,0,0,0,0,0,0
16726,"23","Male","Chinese","CN","0_20_NA_NA",20,0,10,10,10,0,14,12,0,20
17158,"29",NA,"Chinese","CN","0_NA_NA",0,NA,0,0,0,24,0,0,0,0
17608,"25","Female","Chinese","CN","0_24_NA_NA",24,0,8,8,12,0,12,0,0,20
17615,"28","NA","Chinese","CN","0_24_NA_NA",24,0,12,12,12,0,14,14,0,24
17715,"27","Male","Chinese","CN","0_24_NA_NA",24,0,10,10,10,0,14,18,0,20
