"ParticipantID","Age","Gender","UKdata_FirstLanguage","Site","EducationScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore1","HighestOtherScienceScore2","STEMscore"
10325,21,"female","English","UK","20",14,14,10,0,14,18,0,0,24
10380,19,"Female","English","UK","16",14,10,10,0,10,14,0,0,24
10909,25,"female","English","UK","24",10,10,14,0,10,0,0,0,24
11004,26,"Non-binary","English","UK","18",10,10,10,0,14,0,0,0,20
11013,26,"Male","English","UK","16",8,8,8,8,8,8,8,14,16
11133,24,"Female","English","UK","24",22,14,10,0,14,0,0,0,32
11307,18,"female","English","UK","16",8,8,8,0,8,10,0,0,16
11342,19,"Female","English","UK","16",10,10,10,14,14,0,0,0,20
12026,24,"Male","English","UK","20",10,10,10,10,10,10,0,0,20
12160,NA,NA,NA,"UK","",NA,NA,NA,NA,NA,NA,0,0,NA
12319,21,"Male","English","UK","16",10,14,14,0,14,0,0,0,24
12604,25,"male","English","UK","20",14,20,14,0,18,0,0,0,28
12776,26,"Male","English","UK","16",10,10,10,0,10,0,0,0,20
13095,20,"Agender","English","UK","16",14,10,10,0,10,0,0,0,24
13365,20,"Male","English","UK","16",10,8,8,0,10,0,0,0,18
13584,19,"Female","English","UK","16",10,10,10,0,10,14,0,0,20
13600,34,"Male","English","UK","24",14,14,14,0,14,10,0,0,28
13647,28,"Male","English","UK","16",8,8,8,8,8,8,0,0,16
14464,21,"Male","English","UK","16",8,8,8,0,8,0,0,0,16
15060,20,"Male","English","UK","16",10,10,10,14,10,10,0,0,20
15419,19,"Female","English","UK","16",0,10,0,0,10,0,0,0,0
15655,27,"male","English","UK","14",14,14,14,10,10,14,0,0,28
15677,31,"Male","English","UK","24",10,14,14,22,14,10,0,0,24
15718,24,"male","English","UK","16",10,10,10,0,10,0,0,0,20
16307,24,"male","English","UK","16",10,10,10,10,10,10,14,0,20
16446,20,"Male","English","UK","12",8,0,0,0,8,0,0,0,8
16519,24,"Female","English","UK","20",10,10,10,0,14,0,0,0,20
16659,20,"Male","English","UK","16",10,10,10,0,14,0,14,0,20
16845,21,"Male","English","UK","16",14,14,14,16,14,8,0,0,28
16880,20,"Male","English","UK","12",10,0,0,10,10,0,0,0,10
17502,28,"male","English","UK","16",10,10,10,10,10,14,0,0,20
17726,19,"Female","English","UK","16",14,14,10,0,14,0,0,0,24
17878,33,"Male","English","UK","16",10,10,10,0,10,14,0,0,20
18160,25,"male","English","UK","16",10,10,10,14,10,10,14,0,20
19008,21,"Male","English","UK","16",10,10,14,8,14,0,14,0,24
19205,54,"Male","English","UK","16",0,0,0,0,8,0,0,0,0
19369,26,"Male","English","UK","24",10,10,10,10,10,14,14,0,20
20257,19,"Female","English","UK","16",10,10,10,0,10,14,0,0,20
20418,23,"Female","English","UK","20",10,10,10,0,10,14,0,0,20
20564,19,"Male","English","UK","16",10,14,14,0,14,0,0,0,24
20703,26,"Female","English","UK","24",22,14,8,8,14,0,0,0,30
20837,24,"female","Other","UK","16",14,14,10,0,14,10,0,0,24
22154,20,"Female","English","UK","16",14,10,10,0,10,14,0,0,24
22181,20,"Female","English","UK","14",14,14,10,8,14,0,0,0,24
22550,25,"Female","English","UK","22",14,22,14,14,14,8,0,0,28
23018,22,"female","English","UK","16",10,14,14,0,14,0,0,0,24
23048,20,"male","English","UK","16",10,10,10,0,10,14,0,0,20
23221,28,"M","English","UK","20",10,10,10,10,10,10,10,10,20
23632,29,"female","English","UK","20",10,10,10,0,10,18,0,0,20
24277,22,"male","English","UK","16",10,10,10,0,10,0,0,0,20
24383,28,"Female",NA,"UK","24",10,8,8,8,8,22,0,0,18
24585,19,"female","English","UK","16",10,10,10,0,10,14,0,0,20
25234,30,"Male","English","UK","16",14,14,14,0,14,10,0,0,28
25350,30,"Male","English","UK","16",10,10,10,0,10,0,0,0,20
25697,26,"Female","English","UK","24",14,14,10,0,14,0,0,0,24
26126,21,"Male","English","UK","16",14,14,14,0,14,0,0,0,28
26253,27,"Male","English","UK","16",14,14,8,0,10,0,0,0,22
26302,27,"Male","English","UK","20",10,10,10,0,10,0,0,0,20
26312,21,"Female","English","UK","16",14,14,14,0,14,0,14,10,28
26828,20,"female","English","UK","14",0,10,0,0,10,0,0,0,0
26959,18,"female","English","UK","16",10,10,10,10,10,14,0,0,20
27357,24,"male","English","UK","16",10,10,10,0,10,14,0,0,20
28313,24,"Male","English","UK","20",10,10,10,0,10,20,0,0,20
28323,19,"female","English","UK","16",14,10,10,0,14,14,0,0,24
28380,19,"Male","English","UK","16",10,10,14,8,14,0,0,0,24
28389,30,"Female","English","UK","16",10,0,0,0,10,0,0,0,10
28716,22,"Male","English","UK","20",10,10,10,10,14,14,0,0,20
28871,26,"Female",NA,"UK","24",22,10,10,10,22,0,0,0,32
30041,24,"female","English","UK","16",10,10,10,0,10,14,14,14,20
